segment,region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,germany,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07,5.4519161705706e-07
Ammonia,greece,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05,3.534526079571804e-05
Ammonia,hungary,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06,5.72008123666049e-06
Ammonia,iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,ireland,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05,4.8001278616872585e-05
Ammonia,italy,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06,2.010781469083458e-06
Ammonia,latvia,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395,0.0020164519090892395
Ammonia,liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,lithuania,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06,8.088007722477083e-06
Ammonia,luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
