region,segment,technology,unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
estonia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
estonia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
ireland,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ireland,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
ireland,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
ireland,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
ireland,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
ireland,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
ireland,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
ireland,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
greece,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
greece,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
greece,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
greece,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
greece,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
greece,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
greece,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
